"56","Cafe Brio","79","4","944 Fort Street, Victoria, BC","48.42405549999999","-123.3575968"
"57","The Oaks Restaurant","11","3.5","2250 Oak Bay Avenue, Victoria, BC","48.4265681","-123.3142412"
"58","SüLT Pierogi Bar","37","4","609 Yates Street, Victoria, BC","48.42642619999999","-123.3669085"
"59","Sushi Time Express","10","5","735 Yates Street, Victoria, BC","48.4258687","-123.3635059"
"60","Fuego Old Town Eatery","43","4","1435 Store Street, Victoria, BC","48.4282543","-123.3693406"
"61","Legislative Dining Room","5","5","614 Government Street, Victoria, BC","48.4190854","-123.3692445"
"62","The Tapa Bar","120","4","620 Trounce Alley, Victoria, BC","48.4259753","-123.3666449"
"63","Hawk and Hen","50","4","531 Yates Street, Victoria, BC","48.4266303","-123.3695751"
"64","Ayo Eat","38","4.5","140-156 Johnson Street, Victoria, BC","48.4280834","-123.3708889"
"65","Machi Sushi","13","4.5","2583 Cadboro Bay Road, Victoria, BC","48.4377968","-123.3125279"
"66","Bon Sushi","17","5","1467 Hampshire Road, Oak Bay, BC","48.4260815","-123.3156733"
"67","Veneto","78","4","1450 Douglas Street, Victoria, BC","48.4279141","-123.3649611"
"68","Padella Kitchen+Wine","19","4.5","2524 Estevan Avenue, Victoria, BC","48.437638","-123.307705"
"69","Cooks Day Off","4","5","1883 Fort Street, Victoria, BC","48.4308913","-123.3270645"
"70","Baan Thai Restaurant","14","4","2000 Cadboro Bay Road, Oak Bay, BC","48.4327051","-123.3216478"
"71","Saveur","20","4.5","658 Herald Street, Victoria, BC","48.430466","-123.3654184"
"72","Wrap N Roll","5","4","1885 Fort Street, Victoria","48.431121","-123.326786"
"73","Murchie’s Tea & Coffee","227","4.5","1110 Government Street, Victoria, BC","48.4254168","-123.3681474"
"74","Fiamo","75","4","515 Yates Street, Victoria, BC","48.4266982","-123.3697848"
"75","Poutine 66","17","3.5","2637 Quadra Street, Victoria, BC","48.4388026","-123.3591326"
"76","The Local","97","4","1205 Wharf Street, Victoria, BC","48.4259856","-123.3699616"
"77","The Keg Steakhouse & Bar","103","4.5","500 Fort Street, Victoria, BC","48.425239","-123.3695954"
"78","Agrius","26","4","732 Yates Street, Victoria, BC","48.4262765","-123.3633355"
"79","BeaverTails","21","4.5","602 Broughton Street, Victoria, BC","48.42433339999999","-123.367646"
"80","Penny Farthing Public House","43","4","2228 Oak Bay Avenue, Victoria, BC","48.4267409","-123.3150226"
"81","Cactus Club Cafe","65","4","1125 Douglas Street, Victoria, BC","48.424893","-123.364927"
"82","Be Love","85","4","1019 Blanshard Street, Victoria, BC","48.4242889","-123.3625127"
"83","Fernwood Pizza Company","1","1","2009 Fernwood Road, Victoria, BC","48.43085749999999","-123.3450504"
"84","La Taquisa","40","4","1017 Blanshard Street, Victoria, BC","48.4239571","-123.362371"
"85","Tacofino","61","4","787 Fort Street, Victoria, BC","48.4241342","-123.3629975"
"86","Famoso Neapolitan Pizzeria","77","4","129-500 Johnson Street, Victoria, BC","48.4280834","-123.3708889"
"87","Mo:Lé Restaurant","163","4","554 Pandora Avenue, Victoria, BC","48.42873609999999","-123.3676006"
"88","Pho Ever","33","4","1669 Pear Street, Saanich, BC","48.4582574","-123.3323104"
"89","Bangkok Modern Thai Cuisine","15","4.5","1813 Douglas Street, Victoria, BC","48.4307071","-123.364171"
"90","Perro Negro","9","4.5","536 Yates Street, Victoria, BC","48.4270046","-123.3690453"
"91","King Sejong Restaurant","39","4","650 Yates Street, Victoria, BC","48.4265408","-123.3654393"
"92","The Victoria Warehouse - El Furniture","22","3.5","533 Yates Street, Victoria, BC","48.42653000000001","-123.369294"
"93","Hanshik Nara Korean Restaurant","3","5","748 Johnson Street, Victoria, BC","48.427141","-123.3631238"
"94","Foo Ramen Bar","42","3.5","762 Broughton Street, Victoria, BC","48.42360499999999","-123.3624099"
"95","Blue Crab Seafood House","98","3.5","146 Kingston Street, Victoria, BC","48.4223081","-123.3796642"
"96","Fishhook","8","5","407 Swift Street, Victoria, BC","48.429272","-123.3710233"
"97","Floyd’s Diner","100","4","866 Yates Street, Victoria, BC","48.426012","-123.359468"
"98","Shine Cafe","39","4","1548 Fort Street, Victoria, BC","48.4259563","-123.3388868"
"99","The Next","12","4.5","104-240 Cook Street, Victoria, BC","48.4143881","-123.3570765"
"100","Varsha Indian Kitchen","53","4","1600 Governement Street, Victoria","48.4287959","-123.367274"
"101","Picnic","28","4.5","506 Fort Street, Victoria, BC","48.4251415","-123.3692927"
"102","Pho Nay","19","4","1012 Blanshard Street, Victoria, BC","48.4238401","-123.3628441"
"103","Spoons Diner","56","4","2915 Douglas Street, Victoria, BC","48.4420688","-123.3682455"
"104","Golden City Restaurant","55","4","721 Fisgard St, Victoria, BC","48.4293234","-123.3632914"
"105","The Drake Eatery","35","4","517 Pandora Street, Victoria, BC","48.4284105","-123.3690607"
"106","Thaigo","3","4.5","1644 Hillside Avenue, Victoria, BC","48.4461325","-123.3358263"
"107","ReBar Modern Food","215","4","50 Bastion Square, Victoria, BC","48.4258871","-123.3680068"
"108","The Village Restaurant","38","4","2518 Estevan Avenue, Victoria, BC","48.437783","-123.307837"
"109","Hong Kong West","13","3","1807 Fort Street, Victoria, BC","48.4295356","-123.3298413"
"110","Zambri’s","52","4","820 Yates Street, Victoria, BC","48.4260925","-123.3613309"
"111","Tibetan Kitchen","35","4","680 Broughton Street, Victoria, BC","48.4242226","-123.3660772"
"112","My Thai Cafe","22","4","1020 Cook Street, Victoria, BC","48.4226965","-123.3544583"
